
0it [00:00, ?it/s]
1it [53:11, 3191.08s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 1 | eff(%):  0.398 | loglstar: -228589.590 | logz: -228595.808 +/-  0.158 | dlogz:    inf >  0.300]
2it [53:24, 1321.69s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 2 | eff(%):  0.794 | loglstar: -144580.868 | logz: -144587.090 +/-  0.158 | dlogz: 226567.861 >  0.300]
 75%|███████▌  | 3/4 [53:34<12:02, 722.98s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 3 | eff(%):  1.186 | loglstar: -140754.453 | logz: -140760.680 +/-  0.158 | dlogz: 142559.139 >  0.300]
 80%|████████  | 4/5 [53:51<07:24, 444.13s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 4 | eff(%):  1.575 | loglstar: -87771.044 | logz: -87777.274 +/-  0.158 | dlogz: 138732.724 >  0.300]  
 83%|████████▎ | 5/6 [53:59<04:47, 287.05s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 5 | eff(%):  1.961 | loglstar: -82318.710 | logz: -82324.944 +/-  0.158 | dlogz: 85749.315 >  0.300] 
 86%|████████▌ | 6/7 [54:08<03:12, 192.38s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 6 | eff(%):  2.344 | loglstar: -81380.119 | logz: -81386.357 +/-  0.158 | dlogz: 80296.981 >  0.300]
 88%|████████▊ | 7/8 [54:17<02:12, 132.53s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 7 | eff(%):  2.724 | loglstar: -80671.482 | logz: -80677.725 +/-  0.158 | dlogz: 79358.390 >  0.300]
 89%|████████▉ | 8/9 [54:26<01:33, 93.02s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 8 | eff(%):  3.101 | loglstar: -78533.827 | logz: -78540.074 +/-  0.158 | dlogz: 78649.754 >  0.300] 
 90%|█████████ | 9/10 [54:34<01:06, 66.44s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 9 | eff(%):  3.475 | loglstar: -76432.649 | logz: -76438.899 +/-  0.158 | dlogz: 76512.098 >  0.300]
 91%|█████████ | 10/11 [54:43<00:48, 48.80s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 10 | eff(%):  3.846 | loglstar: -72578.324 | logz: -72584.579 +/-  0.158 | dlogz: 74410.920 >  0.300]
  9%|▉         | 11/123 [54:55<1:09:46, 37.38s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 11 | eff(%):  4.215 | loglstar: -61175.167 | logz: -61181.426 +/-  0.158 | dlogz: 70556.596 >  0.300]
  7%|▋         | 12/161 [55:07<1:13:59, 29.80s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 12 | eff(%):  4.580 | loglstar: -59509.506 | logz: -59515.768 +/-  0.158 | dlogz: 59153.438 >  0.300]
  7%|▋         | 13/190 [55:16<1:09:24, 23.53s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 13 | eff(%):  4.943 | loglstar: -59180.167 | logz: -59186.434 +/-  0.158 | dlogz: 57487.777 >  0.300]
  5%|▌         | 14/271 [55:26<1:22:46, 19.32s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 14 | eff(%):  5.303 | loglstar: -57159.408 | logz: -57165.678 +/-  0.158 | dlogz: 57158.439 >  0.300]
  6%|▌         | 15/263 [55:39<1:12:57, 17.65s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 15 | eff(%):  5.660 | loglstar: -53693.797 | logz: -53700.072 +/-  0.158 | dlogz: 55137.679 >  0.300]
  7%|▋         | 16/244 [55:49<58:21, 15.36s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 16 | eff(%):  6.015 | loglstar: -52527.495 | logz: -52533.774 +/-  0.158 | dlogz: 51672.069 >  0.300]  
  7%|▋         | 17/241 [55:59<50:18, 13.48s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 17 | eff(%):  6.367 | loglstar: -49045.316 | logz: -49051.598 +/-  0.158 | dlogz: 50505.767 >  0.300]
  7%|▋         | 18/241 [56:13<50:50, 13.68s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 18 | eff(%):  6.716 | loglstar: -48040.992 | logz: -48047.278 +/-  0.158 | dlogz: 47023.587 >  0.300]
  7%|▋         | 19/257 [56:22<48:38, 12.26s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 19 | eff(%):  7.063 | loglstar: -47930.137 | logz: -47936.427 +/-  0.158 | dlogz: 46019.263 >  0.300]
  7%|▋         | 20/299 [56:31<53:19, 11.47s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 20 | eff(%):  7.407 | loglstar: -47696.107 | logz: -47702.402 +/-  0.159 | dlogz: 45908.408 >  0.300]
  6%|▌         | 21/380 [56:39<1:02:33, 10.46s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 21 | eff(%):  7.749 | loglstar: -46314.379 | logz: -46320.678 +/-  0.159 | dlogz: 45674.379 >  0.300]
  6%|▌         | 22/396 [56:48<1:02:22, 10.01s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 22 | eff(%):  8.088 | loglstar: -45806.496 | logz: -45812.799 +/-  0.159 | dlogz: 44292.650 >  0.300]
  5%|▌         | 23/427 [56:59<1:08:14, 10.13s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 23 | eff(%):  8.425 | loglstar: -45240.678 | logz: -45246.985 +/-  0.159 | dlogz: 43784.768 >  0.300]
  5%|▍         | 24/503 [57:08<1:18:44,  9.86s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 24 | eff(%):  8.759 | loglstar: -44611.157 | logz: -44617.468 +/-  0.159 | dlogz: 43218.949 >  0.300]
  4%|▍         | 25/617 [57:18<1:36:51,  9.82s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 25 | eff(%):  9.091 | loglstar: -44281.497 | logz: -44287.811 +/-  0.159 | dlogz: 42589.428 >  0.300]
  4%|▎         | 26/729 [57:32<2:11:36, 11.23s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 26 | eff(%):  9.420 | loglstar: -43312.850 | logz: -43319.168 +/-  0.159 | dlogz: 42259.768 >  0.300]
  3%|▎         | 27/869 [57:47<2:54:03, 12.40s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 27 | eff(%):  9.747 | loglstar: -42809.925 | logz: -42816.248 +/-  0.159 | dlogz: 41291.121 >  0.300]
  3%|▎         | 28/859 [58:01<2:57:10, 12.79s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 28 | eff(%): 10.072 | loglstar: -41056.644 | logz: -41062.970 +/-  0.159 | dlogz: 40788.196 >  0.300]
  4%|▍         | 29/743 [58:13<2:30:03, 12.61s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 29 | eff(%): 10.394 | loglstar: -39175.303 | logz: -39181.633 +/-  0.159 | dlogz: 39034.915 >  0.300]
  5%|▍         | 30/627 [58:22<1:52:59, 11.36s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 30 | eff(%): 10.714 | loglstar: -38848.195 | logz: -38854.530 +/-  0.159 | dlogz: 37153.574 >  0.300]
  5%|▌         | 31/588 [58:35<1:49:30, 11.80s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 31 | eff(%): 11.032 | loglstar: -37002.723 | logz: -37009.062 +/-  0.159 | dlogz: 36826.467 >  0.300]
  6%|▋         | 32/505 [58:49<1:39:26, 12.62s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 32 | eff(%): 11.348 | loglstar: -35278.466 | logz: -35284.808 +/-  0.159 | dlogz: 34980.995 >  0.300]
  8%|▊         | 33/434 [58:59<1:18:27, 11.74s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 33 | eff(%): 11.661 | loglstar: -34939.423 | logz: -34945.770 +/-  0.159 | dlogz: 33256.737 >  0.300]
  8%|▊         | 34/404 [59:17<1:24:21, 13.68s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 35 | eff(%): 11.930 | loglstar: -34691.509 | logz: -34697.859 +/-  0.159 | dlogz: 32917.695 >  0.300]
  9%|▉         | 35/399 [59:30<1:22:40, 13.63s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 36 | eff(%): 12.238 | loglstar: -34569.004 | logz: -34575.358 +/-  0.159 | dlogz: 32669.780 >  0.300]
  8%|▊         | 36/424 [59:39<1:19:03, 12.23s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 37 | eff(%): 12.544 | loglstar: -34250.725 | logz: -34257.083 +/-  0.159 | dlogz: 32547.275 >  0.300]
  8%|▊         | 37/470 [59:48<1:20:21, 11.13s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 38 | eff(%): 12.847 | loglstar: -34054.444 | logz: -34060.807 +/-  0.159 | dlogz: 32228.996 >  0.300]
  7%|▋         | 38/568 [59:59<1:36:42, 10.95s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 39 | eff(%): 13.149 | loglstar: -33816.839 | logz: -33823.206 +/-  0.159 | dlogz: 32032.716 >  0.300]
  6%|▌         | 39/707 [1:00:08<1:55:32, 10.38s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 40 | eff(%): 13.448 | loglstar: -33719.587 | logz: -33725.957 +/-  0.159 | dlogz: 31795.111 >  0.300]
  5%|▍         | 40/880 [1:00:26<2:59:13, 12.80s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 42 | eff(%): 13.699 | loglstar: -33273.428 | logz: -33279.802 +/-  0.160 | dlogz: 31697.858 >  0.300]
  3%|▎         | 41/1238 [1:00:37<4:02:54, 12.18s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 43 | eff(%): 13.993 | loglstar: -33059.744 | logz: -33066.122 +/-  0.160 | dlogz: 31251.699 >  0.300]
  3%|▎         | 42/1614 [1:00:46<4:52:38, 11.17s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 44 | eff(%): 14.286 | loglstar: -32998.768 | logz: -33005.150 +/-  0.160 | dlogz: 31038.015 >  0.300]
  3%|▎         | 43/1677 [1:00:56<4:54:37, 10.82s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 45 | eff(%): 14.576 | loglstar: -32592.322 | logz: -32598.708 +/-  0.160 | dlogz: 30977.039 >  0.300]
  3%|▎         | 44/1618 [1:01:04<4:28:27, 10.23s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 46 | eff(%): 14.865 | loglstar: -32499.435 | logz: -32505.826 +/-  0.160 | dlogz: 30570.593 >  0.300]
  3%|▎         | 45/1611 [1:01:42<8:02:25, 18.48s/it, batch: 0 | bound: 0 | nc: 3 | ncall: 49 | eff(%): 15.050 | loglstar: -31686.028 | logz: -31692.422 +/-  0.160 | dlogz: 30477.707 >  0.300]
  3%|▎         | 46/1435 [1:01:51<6:00:42, 15.58s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 50 | eff(%): 15.333 | loglstar: -31615.320 | logz: -31621.718 +/-  0.160 | dlogz: 29664.299 >  0.300]
  3%|▎         | 47/1345 [1:02:00<4:55:30, 13.66s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 51 | eff(%): 15.615 | loglstar: -31176.002 | logz: -31182.404 +/-  0.160 | dlogz: 29593.591 >  0.300]
  4%|▍         | 48/1240 [1:02:10<4:05:51, 12.38s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 52 | eff(%): 15.894 | loglstar: -30193.607 | logz: -30200.013 +/-  0.160 | dlogz: 29154.273 >  0.300]
  5%|▍         | 49/1034 [1:02:21<3:19:05, 12.13s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 53 | eff(%): 16.172 | loglstar: -30135.702 | logz: -30142.112 +/-  0.160 | dlogz: 28171.878 >  0.300]
  5%|▌         | 50/968 [1:02:34<3:07:11, 12.23s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 54 | eff(%): 16.447 | loglstar: -29985.659 | logz: -29992.074 +/-  0.160 | dlogz: 28113.973 >  0.300] 
  6%|▌         | 51/925 [1:03:41<6:58:25, 28.72s/it, batch: 0 | bound: 0 | nc: 5 | ncall: 59 | eff(%): 16.505 | loglstar: -29973.784 | logz: -29980.202 +/-  0.160 | dlogz: 27963.931 >  0.300]
  6%|▌         | 52/942 [1:03:50<5:39:11, 22.87s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 60 | eff(%): 16.774 | loglstar: -29259.698 | logz: -29266.120 +/-  0.160 | dlogz: 27952.055 >  0.300]
  6%|▌         | 53/939 [1:04:08<5:15:35, 21.37s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 62 | eff(%): 16.987 | loglstar: -29048.634 | logz: -29055.060 +/-  0.160 | dlogz: 27237.969 >  0.300]
  6%|▌         | 54/955 [1:04:30<5:25:12, 21.66s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 64 | eff(%): 17.197 | loglstar: -28898.222 | logz: -28904.652 +/-  0.160 | dlogz: 27026.905 >  0.300]
  5%|▌         | 55/1050 [1:04:39<4:55:44, 17.83s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 65 | eff(%): 17.460 | loglstar: -28678.701 | logz: -28685.135 +/-  0.160 | dlogz: 26876.493 >  0.300]
  5%|▌         | 56/1094 [1:05:05<5:50:31, 20.26s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 67 | eff(%): 17.666 | loglstar: -28603.006 | logz: -28609.444 +/-  0.160 | dlogz: 26656.972 >  0.300]
