event_id,timestamp,start_index,q50_wh,q75_wh,dwell_minutes,retention_primary_minutes,retention_strict_minutes,retained_60min,retained_120min,event_energy_60min_kwh,event_energy_120min_kwh
1,2016-01-12 00:40:00,46,60.0,100.0,30,60,120,0,0,1.61,1.89
2,2016-01-12 10:00:00,102,60.0,100.0,30,60,120,0,0,1.38,1.71
3,2016-01-12 12:10:00,115,60.0,100.0,30,60,120,1,0,1.12,2.03
4,2016-01-12 13:10:00,121,60.0,100.0,30,60,120,0,0,0.91,1.72
5,2016-01-12 17:20:00,146,60.0,100.0,30,60,120,1,0,1.36,1.64
6,2016-01-13 08:20:00,236,60.0,100.0,30,60,120,1,1,1.97,2.65
7,2016-01-14 14:00:00,414,60.0,100.0,30,60,120,0,0,0.78,1.09
8,2016-01-14 16:20:00,428,60.0,100.0,30,60,120,1,1,3.31,4.42
9,2016-01-15 08:20:00,524,60.0,100.0,30,60,120,1,0,2.08,2.7
10,2016-01-15 10:40:00,538,60.0,100.0,30,60,120,1,0,1.12,1.69
11,2016-01-16 07:20:00,662,60.0,100.0,30,60,120,1,0,2.01,2.35
12,2016-01-17 07:00:00,804,60.0,100.0,30,60,120,1,1,2.09,3.72
13,2016-01-19 17:50:00,1157,60.0,100.0,30,60,120,1,1,1.12,3.0
14,2016-01-21 13:20:00,1418,60.0,100.0,30,60,120,1,0,1.08,1.42
15,2016-01-23 08:20:00,1676,60.0,100.0,30,60,120,1,1,0.98,1.79
16,2016-01-24 07:50:00,1817,60.0,100.0,30,60,120,1,1,3.07,5.86
17,2016-01-25 19:40:00,2032,60.0,100.0,30,60,120,1,1,1.92,2.38
18,2016-01-26 22:50:00,2195,60.0,100.0,30,60,120,1,0,1.91,2.21
19,2016-01-31 08:00:00,2826,60.0,100.0,30,60,120,1,0,0.93,2.73
20,2016-01-31 09:20:00,2834,60.0,100.0,30,60,120,1,1,2.27,3.58
21,2016-01-31 11:40:00,2848,60.0,100.0,30,60,120,1,1,1.9,3.58
22,2016-02-01 07:30:00,2967,60.0,100.0,30,60,120,0,0,1.28,1.54
23,2016-02-01 11:20:00,2990,60.0,100.0,30,60,120,1,1,2.66,3.89
24,2016-02-04 09:20:00,3410,60.0,100.0,30,60,120,0,0,0.83,1.21
25,2016-02-04 12:00:00,3426,60.0,100.0,30,60,120,1,1,2.12,2.95
26,2016-02-06 15:30:00,3735,60.0,100.0,30,60,120,1,1,1.26,3.14
27,2016-02-08 09:30:00,3987,60.0,100.0,30,60,120,1,1,1.09,2.87
28,2016-02-09 10:10:00,4135,60.0,100.0,30,60,120,1,1,1.71,2.43
29,2016-02-11 10:50:00,4427,60.0,100.0,30,60,120,1,1,1.22,1.94
30,2016-02-13 09:20:00,4706,60.0,100.0,30,60,120,0,0,0.87,1.52
31,2016-02-13 11:10:00,4717,60.0,100.0,30,60,120,1,1,1.82,2.76
32,2016-02-14 11:00:00,4860,60.0,100.0,30,60,120,1,1,1.26,2.01
33,2016-02-15 12:40:00,5014,60.0,100.0,30,60,120,1,1,2.0,3.18
34,2016-02-15 14:10:00,5023,60.0,100.0,30,60,120,1,0,0.94,1.23
35,2016-02-16 08:30:00,5133,60.0,100.0,30,60,120,1,1,2.44,3.65
36,2016-02-18 10:50:00,5435,60.0,100.0,30,60,120,1,1,1.76,2.62
37,2016-02-19 08:50:00,5567,60.0,100.0,30,60,120,1,1,0.95,2.64
38,2016-02-19 14:00:00,5598,60.0,100.0,30,60,120,0,0,0.84,2.34
39,2016-02-19 15:10:00,5605,60.0,100.0,30,60,120,1,0,1.64,2.16
40,2016-02-20 10:10:00,5719,60.0,100.0,30,60,120,1,1,1.75,2.92
41,2016-02-21 17:00:00,5904,60.0,100.0,30,60,120,1,1,0.79,2.15
42,2016-02-22 11:10:00,6013,60.0,100.0,30,60,120,1,1,1.81,2.77
