component,dataset,dataset_name,source,formula,numerator,denominator,value,status
raw_decision_accuracy,wdbc,Wisconsin Diagnostic Breast Cancer,https://archive.ics.uci.edu/ml/machine-learning-databases/breast-cancer-wisconsin/wdbc.data,mean(fold raw accuracies),see fold CSV,5 folds,0.9525817622162371,real_calculated
accepted_decision_count,wdbc,Wisconsin Diagnostic Breast Cancer,https://archive.ics.uci.edu/ml/machine-learning-databases/breast-cancer-wisconsin/wdbc.data,sum(accepted decisions over folds),446,569,446,real_calculated
pending_decision_count,wdbc,Wisconsin Diagnostic Breast Cancer,https://archive.ics.uci.edu/ml/machine-learning-databases/breast-cancer-wisconsin/wdbc.data,sum(pending decisions over folds),123,569,123,real_calculated
accepted_reference_accuracy,wdbc,Wisconsin Diagnostic Breast Cancer,https://archive.ics.uci.edu/ml/machine-learning-databases/breast-cancer-wisconsin/wdbc.data,accepted_true/(accepted_true+accepted_false),443,446,0.9932735426008968,real_calculated
accepted_coverage,wdbc,Wisconsin Diagnostic Breast Cancer,https://archive.ics.uci.edu/ml/machine-learning-databases/breast-cancer-wisconsin/wdbc.data,accepted_total/n_samples,446,569,0.7838312829525483,real_calculated
pending_fraction,wdbc,Wisconsin Diagnostic Breast Cancer,https://archive.ics.uci.edu/ml/machine-learning-databases/breast-cancer-wisconsin/wdbc.data,pending_total/n_samples,123,569,0.21616871704745166,real_calculated
brier_score,wdbc,Wisconsin Diagnostic Breast Cancer,https://archive.ics.uci.edu/ml/machine-learning-databases/breast-cancer-wisconsin/wdbc.data,mean((p-y)^2) over held-out fold predictions,see prediction probabilities in script,569,0.03243282000337065,real_calculated
ece_10bin,wdbc,Wisconsin Diagnostic Breast Cancer,https://archive.ics.uci.edu/ml/machine-learning-databases/breast-cancer-wisconsin/wdbc.data,10-bin expected calibration error over held-out fold predictions,weighted absolute calibration gaps,569,0.013306736523496277,real_calculated
aurc_confidence,wdbc,Wisconsin Diagnostic Breast Cancer,https://archive.ics.uci.edu/ml/machine-learning-databases/breast-cancer-wisconsin/wdbc.data,mean selective risk while sweeping accepted coverage by confidence,cumulative held-out errors ordered by confidence,569,0.005699948954383136,real_calculated
raw_decision_accuracy,ionosphere,Johns Hopkins Ionosphere,https://archive.ics.uci.edu/ml/machine-learning-databases/ionosphere/ionosphere.data,mean(fold raw accuracies),see fold CSV,5 folds,0.8775050301810865,real_calculated
accepted_decision_count,ionosphere,Johns Hopkins Ionosphere,https://archive.ics.uci.edu/ml/machine-learning-databases/ionosphere/ionosphere.data,sum(accepted decisions over folds),192,351,192,real_calculated
pending_decision_count,ionosphere,Johns Hopkins Ionosphere,https://archive.ics.uci.edu/ml/machine-learning-databases/ionosphere/ionosphere.data,sum(pending decisions over folds),159,351,159,real_calculated
accepted_reference_accuracy,ionosphere,Johns Hopkins Ionosphere,https://archive.ics.uci.edu/ml/machine-learning-databases/ionosphere/ionosphere.data,accepted_true/(accepted_true+accepted_false),185,192,0.9635416666666666,real_calculated
accepted_coverage,ionosphere,Johns Hopkins Ionosphere,https://archive.ics.uci.edu/ml/machine-learning-databases/ionosphere/ionosphere.data,accepted_total/n_samples,192,351,0.5470085470085471,real_calculated
pending_fraction,ionosphere,Johns Hopkins Ionosphere,https://archive.ics.uci.edu/ml/machine-learning-databases/ionosphere/ionosphere.data,pending_total/n_samples,159,351,0.452991452991453,real_calculated
brier_score,ionosphere,Johns Hopkins Ionosphere,https://archive.ics.uci.edu/ml/machine-learning-databases/ionosphere/ionosphere.data,mean((p-y)^2) over held-out fold predictions,see prediction probabilities in script,351,0.09838189477958661,real_calculated
ece_10bin,ionosphere,Johns Hopkins Ionosphere,https://archive.ics.uci.edu/ml/machine-learning-databases/ionosphere/ionosphere.data,10-bin expected calibration error over held-out fold predictions,weighted absolute calibration gaps,351,0.05672381057767423,real_calculated
aurc_confidence,ionosphere,Johns Hopkins Ionosphere,https://archive.ics.uci.edu/ml/machine-learning-databases/ionosphere/ionosphere.data,mean selective risk while sweeping accepted coverage by confidence,cumulative held-out errors ordered by confidence,351,0.05083294790596203,real_calculated
raw_decision_accuracy,sonar,Connectionist Bench Sonar,https://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/connectionist-bench/sonar/sonar.all-data,mean(fold raw accuracies),see fold CSV,5 folds,0.7683818167085323,real_calculated
accepted_decision_count,sonar,Connectionist Bench Sonar,https://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/connectionist-bench/sonar/sonar.all-data,sum(accepted decisions over folds),48,208,48,real_calculated
pending_decision_count,sonar,Connectionist Bench Sonar,https://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/connectionist-bench/sonar/sonar.all-data,sum(pending decisions over folds),160,208,160,real_calculated
accepted_reference_accuracy,sonar,Connectionist Bench Sonar,https://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/connectionist-bench/sonar/sonar.all-data,accepted_true/(accepted_true+accepted_false),43,48,0.8958333333333334,real_calculated
accepted_coverage,sonar,Connectionist Bench Sonar,https://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/connectionist-bench/sonar/sonar.all-data,accepted_total/n_samples,48,208,0.23076923076923078,real_calculated
pending_fraction,sonar,Connectionist Bench Sonar,https://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/connectionist-bench/sonar/sonar.all-data,pending_total/n_samples,160,208,0.7692307692307693,real_calculated
brier_score,sonar,Connectionist Bench Sonar,https://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/connectionist-bench/sonar/sonar.all-data,mean((p-y)^2) over held-out fold predictions,see prediction probabilities in script,208,0.16793374495256932,real_calculated
ece_10bin,sonar,Connectionist Bench Sonar,https://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/connectionist-bench/sonar/sonar.all-data,10-bin expected calibration error over held-out fold predictions,weighted absolute calibration gaps,208,0.08825839246875,real_calculated
aurc_confidence,sonar,Connectionist Bench Sonar,https://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/connectionist-bench/sonar/sonar.all-data,mean selective risk while sweeping accepted coverage by confidence,cumulative held-out errors ordered by confidence,208,0.12593972864598307,real_calculated
raw_decision_accuracy,cleveland,Cleveland Heart Disease,https://archive.ics.uci.edu/ml/machine-learning-databases/heart-disease/processed.cleveland.data,mean(fold raw accuracies),see fold CSV,5 folds,0.8483050847457626,real_calculated
accepted_decision_count,cleveland,Cleveland Heart Disease,https://archive.ics.uci.edu/ml/machine-learning-databases/heart-disease/processed.cleveland.data,sum(accepted decisions over folds),73,297,73,real_calculated
pending_decision_count,cleveland,Cleveland Heart Disease,https://archive.ics.uci.edu/ml/machine-learning-databases/heart-disease/processed.cleveland.data,sum(pending decisions over folds),224,297,224,real_calculated
accepted_reference_accuracy,cleveland,Cleveland Heart Disease,https://archive.ics.uci.edu/ml/machine-learning-databases/heart-disease/processed.cleveland.data,accepted_true/(accepted_true+accepted_false),72,73,0.9863013698630136,real_calculated
accepted_coverage,cleveland,Cleveland Heart Disease,https://archive.ics.uci.edu/ml/machine-learning-databases/heart-disease/processed.cleveland.data,accepted_total/n_samples,73,297,0.24579124579124578,real_calculated
pending_fraction,cleveland,Cleveland Heart Disease,https://archive.ics.uci.edu/ml/machine-learning-databases/heart-disease/processed.cleveland.data,pending_total/n_samples,224,297,0.7542087542087542,real_calculated
brier_score,cleveland,Cleveland Heart Disease,https://archive.ics.uci.edu/ml/machine-learning-databases/heart-disease/processed.cleveland.data,mean((p-y)^2) over held-out fold predictions,see prediction probabilities in script,297,0.11889060209573217,real_calculated
ece_10bin,cleveland,Cleveland Heart Disease,https://archive.ics.uci.edu/ml/machine-learning-databases/heart-disease/processed.cleveland.data,10-bin expected calibration error over held-out fold predictions,weighted absolute calibration gaps,297,0.050555560042165465,real_calculated
aurc_confidence,cleveland,Cleveland Heart Disease,https://archive.ics.uci.edu/ml/machine-learning-databases/heart-disease/processed.cleveland.data,mean selective risk while sweeping accepted coverage by confidence,cumulative held-out errors ordered by confidence,297,0.0632081925627205,real_calculated
raw_decision_accuracy,haberman,Haberman Survival,https://archive.ics.uci.edu/ml/machine-learning-databases/haberman/haberman.data,mean(fold raw accuracies),see fold CSV,5 folds,0.7518773135906928,real_calculated
accepted_decision_count,haberman,Haberman Survival,https://archive.ics.uci.edu/ml/machine-learning-databases/haberman/haberman.data,sum(accepted decisions over folds),0,306,0,real_calculated
pending_decision_count,haberman,Haberman Survival,https://archive.ics.uci.edu/ml/machine-learning-databases/haberman/haberman.data,sum(pending decisions over folds),306,306,306,real_calculated
accepted_reference_accuracy,haberman,Haberman Survival,https://archive.ics.uci.edu/ml/machine-learning-databases/haberman/haberman.data,accepted_true/(accepted_true+accepted_false),0,0,0.0,real_calculated_zero_accepted_negative_result
accepted_coverage,haberman,Haberman Survival,https://archive.ics.uci.edu/ml/machine-learning-databases/haberman/haberman.data,accepted_total/n_samples,0,306,0.0,real_calculated
pending_fraction,haberman,Haberman Survival,https://archive.ics.uci.edu/ml/machine-learning-databases/haberman/haberman.data,pending_total/n_samples,306,306,1.0,real_calculated
brier_score,haberman,Haberman Survival,https://archive.ics.uci.edu/ml/machine-learning-databases/haberman/haberman.data,mean((p-y)^2) over held-out fold predictions,see prediction probabilities in script,306,0.1811154344494995,real_calculated
ece_10bin,haberman,Haberman Survival,https://archive.ics.uci.edu/ml/machine-learning-databases/haberman/haberman.data,10-bin expected calibration error over held-out fold predictions,weighted absolute calibration gaps,306,0.030762022468358616,real_calculated
aurc_confidence,haberman,Haberman Survival,https://archive.ics.uci.edu/ml/machine-learning-databases/haberman/haberman.data,mean selective risk while sweeping accepted coverage by confidence,cumulative held-out errors ordered by confidence,306,0.20836958441595857,real_calculated
