system,trajectory_id,event_id,t_cross,t_validate,t_end,y_cross,posterior_commit,posterior_validate,min_posterior_retention,latent_retained,posterior_retained,domain_truth,domain_observed,latent_truth_z,operational_decision_a,outcome
A,0,1,10,12,18,1.1468059705821576,0.804153414810725,0.06932086895837102,0.006127226662564688,0,0,1,0,0,0,true_negative_or_downstream_rejection
A,0,2,21,23,29,1.1761360261102725,0.8448141488636406,0.9467228132638863,0.2618573598725503,0,0,0,0,0,0,true_negative_or_downstream_rejection
A,0,3,27,29,35,0.899502216671116,0.8045469446215602,0.8647928953865919,0.0004153163629722134,0,0,1,0,0,0,true_negative_or_downstream_rejection
A,0,4,31,33,39,1.946609096059017,0.9992784491647668,0.014222277452585032,0.0004153163629722134,0,0,1,1,0,0,true_negative_or_downstream_rejection
A,0,5,43,45,51,0.9634152919805996,0.7691535120914874,0.9365326692243491,0.5084885310537329,1,0,0,1,0,0,true_negative_or_downstream_rejection
A,0,6,52,54,60,0.9204589446890395,0.8801013833611863,0.9950317176602382,0.010157890332185235,0,0,1,1,0,0,true_negative_or_downstream_rejection
A,1,1,7,9,15,1.570230019071231,0.9862894854757419,0.5326430030225521,0.0005835319236559861,0,0,0,1,0,0,true_negative_or_downstream_rejection
A,1,2,18,20,26,1.1900744888479198,0.8482315035353348,0.004730149001203019,0.0003207068285319005,0,0,0,1,0,0,true_negative_or_downstream_rejection
A,1,3,39,41,47,1.1854381621431482,0.8646512015764429,0.545397959814492,0.07957435122271377,0,0,1,0,0,0,true_negative_or_downstream_rejection
A,1,4,42,44,50,1.2670142873189985,0.9797638193384125,0.9373872995144784,0.07957435122271377,0,0,1,1,0,0,true_negative_or_downstream_rejection
A,1,5,52,54,60,1.024680698415992,0.9160255037472667,0.03224540908132844,6.398163099714483e-05,0,0,1,0,0,0,true_negative_or_downstream_rejection
A,1,6,66,68,74,1.0150652198535763,0.9139598964438956,,,,,,,,,pending
A,2,1,9,11,17,1.9500085697678153,0.998636760019234,0.0003176646686513804,0.0003176646686513804,0,0,1,1,0,0,true_negative_or_downstream_rejection
A,2,2,15,17,23,1.2449422976796056,0.8708811526427597,0.2644777688825006,0.0003212446054052525,0,0,1,1,0,0,true_negative_or_downstream_rejection
A,2,3,39,41,47,1.0453940129950317,0.7643238187261325,0.9004377099688783,0.8041453506089188,1,1,1,1,1,1,true_positive
A,2,4,57,59,65,1.5028501857496832,0.9693209195463898,0.9386189967059955,0.813818793628242,1,1,1,1,1,1,true_positive
A,3,1,8,10,16,1.5709792852378965,0.988734410866986,0.8903416852595708,0.026339818457155908,0,0,1,1,0,0,true_negative_or_downstream_rejection
A,3,2,16,18,24,1.0275292244606353,0.7637381591541303,0.10381518769913198,0.001786299185293542,0,0,1,0,0,0,true_negative_or_downstream_rejection
