event_id,timestamp,start_index,status,low_threshold_kw,high_threshold_kw,dwell_minutes,retention_minutes,retained,first_exit_minute,missing_in_dwell,missing_in_retention,n_missing_in_window,observed_event_energy_kwh,estimated_event_energy_kwh,peak_power_kw,mean_power_kw
1,2006-12-16 22:48:00,324,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.9722333333333334,0.9722333333333334,2.488,1.9444666666666668
2,2006-12-17 00:31:00,427,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.9022666666666667,0.9022666666666667,2.48,1.8045333333333333
3,2006-12-17 02:13:00,529,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8228666666666666,0.8228666666666666,2.514,1.6457333333333333
4,2006-12-17 02:18:00,534,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8218666666666666,0.8218666666666666,2.514,1.6437333333333333
5,2006-12-17 02:28:00,544,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7969000000000002,0.7969000000000002,2.476,1.5938000000000003
6,2006-12-17 02:48:00,564,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8620666666666666,0.8620666666666666,2.734,1.7241333333333333
7,2006-12-17 02:53:00,569,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8685333333333334,0.8685333333333334,2.734,1.7370666666666668
8,2006-12-17 03:14:00,590,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8329999999999997,0.8329999999999997,2.456,1.6659999999999995
9,2006-12-17 05:30:00,726,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8587666666666666,0.8587666666666666,2.554,1.7175333333333331
10,2006-12-17 05:50:00,746,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.9176333333333334,0.9176333333333334,2.554,1.8352666666666668
11,2006-12-17 07:14:00,830,rejected_first_exit,0.308,1.528,5,30,0,19,0,0,0,1.0187333333333333,1.0187333333333333,2.378,2.0374666666666665
12,2006-12-17 07:34:00,850,rejected_first_exit,0.308,1.528,5,30,0,18,0,0,0,0.9299666666666666,0.9299666666666666,2.418,1.8599333333333332
13,2006-12-17 08:04:00,880,rejected_first_exit,0.308,1.528,5,30,0,7,0,0,0,0.9597333333333332,0.9597333333333332,2.512,1.9194666666666664
14,2006-12-17 08:12:00,888,rejected_first_exit,0.308,1.528,5,30,0,26,0,0,0,0.9495333333333332,0.9495333333333332,2.512,1.8990666666666665
15,2006-12-17 08:48:00,924,accepted_retained,0.308,1.528,5,30,1,,0,0,0,1.6858666666666666,1.6858666666666666,7.064,3.3717333333333332
16,2006-12-17 09:55:00,991,accepted_retained,0.308,1.528,5,30,1,,0,0,0,1.1394333333333333,1.1394333333333333,3.714,2.2788666666666666
17,2006-12-23 00:09:00,9045,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8568333333333333,0.8568333333333333,2.476,1.713666666666667
18,2006-12-23 00:14:00,9050,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8625333333333333,0.8625333333333333,2.476,1.7250666666666665
19,2006-12-23 00:52:00,9088,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8971333333333333,0.8971333333333333,2.582,1.7942666666666667
20,2006-12-23 01:47:00,9143,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8601333333333333,0.8601333333333333,2.542,1.7202666666666666
