dataset,fold,n_test,raw_accuracy,accepted_decisions,pending_decisions,accepted_true_reference,accepted_false_reference,accepted_reference_accuracy,accepted_coverage,pending_fraction
wdbc,1,115,0.9391304347826087,84,31,82,2,0.9761904761904762,0.7304347826086957,0.26956521739130435
wdbc,2,115,0.9565217391304348,102,13,101,1,0.9901960784313726,0.8869565217391304,0.11304347826086956
wdbc,3,113,0.9557522123893806,86,27,86,0,1.0,0.7610619469026548,0.23893805309734514
wdbc,4,113,0.9292035398230089,84,29,84,0,1.0,0.7433628318584071,0.25663716814159293
wdbc,5,113,0.9823008849557522,90,23,90,0,1.0,0.7964601769911505,0.20353982300884957
ionosphere,1,71,0.8732394366197183,43,28,42,1,0.9767441860465116,0.6056338028169014,0.39436619718309857
ionosphere,2,70,0.8428571428571429,41,29,37,4,0.9024390243902439,0.5857142857142857,0.4142857142857143
ionosphere,3,70,0.9,30,40,30,0,1.0,0.42857142857142855,0.5714285714285714
ionosphere,4,70,0.8428571428571429,38,32,36,2,0.9473684210526315,0.5428571428571428,0.45714285714285713
ionosphere,5,70,0.9285714285714286,40,30,40,0,1.0,0.5714285714285714,0.42857142857142855
sonar,1,43,0.8837209302325582,13,30,13,0,1.0,0.3023255813953488,0.6976744186046512
sonar,2,42,0.7142857142857143,6,36,5,1,0.8333333333333334,0.14285714285714285,0.8571428571428571
sonar,3,41,0.7073170731707317,13,28,10,3,0.7692307692307693,0.3170731707317073,0.6829268292682927
sonar,4,41,0.7804878048780488,7,34,6,1,0.8571428571428571,0.17073170731707318,0.8292682926829268
sonar,5,41,0.7560975609756098,9,32,9,0,1.0,0.21951219512195122,0.7804878048780488
cleveland,1,60,0.8666666666666667,15,45,14,1,0.9333333333333333,0.25,0.75
cleveland,2,60,0.8833333333333333,18,42,18,0,1.0,0.3,0.7
cleveland,3,59,0.847457627118644,17,42,17,0,1.0,0.288135593220339,0.711864406779661
cleveland,4,59,0.8135593220338984,12,47,12,0,1.0,0.2033898305084746,0.7966101694915254
cleveland,5,59,0.8305084745762712,11,48,11,0,1.0,0.1864406779661017,0.8135593220338984
haberman,1,62,0.6774193548387096,0,62,0,0,0.0,0.0,1.0
haberman,2,61,0.7377049180327869,0,61,0,0,0.0,0.0,1.0
haberman,3,61,0.7704918032786885,0,61,0,0,0.0,0.0,1.0
haberman,4,61,0.7868852459016393,0,61,0,0,0.0,0.0,1.0
haberman,5,61,0.7868852459016393,0,61,0,0,0.0,0.0,1.0
